class,countInstances,timeInSec
http://yago-knowledge.org/resource/Paris–Troyes,1,0
http://yago-knowledge.org/resource/Tramway_track,1,0
http://yago-knowledge.org/resource/European_Squash_Individual_Championships,1,0
http://yago-knowledge.org/resource/Écorché,1,0
http://yago-knowledge.org/resource/Basement,1,0
http://yago-knowledge.org/resource/Parquetry,1,0
http://yago-knowledge.org/resource/Administrative_region_(Brazil),1,0
http://yago-knowledge.org/resource/Oil_lamp,1,0
http://yago-knowledge.org/resource/Cauldron,1,0
http://yago-knowledge.org/resource/GHI_Bronx_Tennis_Classic,1,0
http://yago-knowledge.org/resource/Gran_Premio_Nobili_Rubinetterie,1,0
http://yago-knowledge.org/resource/Plan_(drawing),1,0
http://yago-knowledge.org/resource/Choreography,1,0
http://yago-knowledge.org/resource/Opinion_piece,1,0
http://yago-knowledge.org/resource/Adventure_novel,1,0
http://yago-knowledge.org/resource/Diorama,1,0
http://yago-knowledge.org/resource/Chitalishte,1,0
http://yago-knowledge.org/resource/Indirect_tax,1,0
http://yago-knowledge.org/resource/Tray,1,0
http://yago-knowledge.org/resource/Time-tracking_software,1,0
http://yago-knowledge.org/resource/Epitaph,1,0
http://yago-knowledge.org/resource/Water_supply,1,0
http://yago-knowledge.org/resource/Baseball_field,1,0
http://yago-knowledge.org/resource/Ultraluminous_X-ray_source,1,0
http://yago-knowledge.org/resource/Polyurethane,1,0
http://schema.org/MedicalGuideline,1,0
http://yago-knowledge.org/resource/Bookmobile,1,0
http://yago-knowledge.org/resource/Isotopes_of_krypton,1,0
http://yago-knowledge.org/resource/Binding_site,1,0
http://yago-knowledge.org/resource/Signalling_control,1,0
http://yago-knowledge.org/resource/Sketchbook,1,0
http://yago-knowledge.org/resource/Cider_apple,1,0
http://yago-knowledge.org/resource/Member_of_parliament,1,0
http://yago-knowledge.org/resource/Publishing,1,0
http://yago-knowledge.org/resource/School_bus,1,0
http://yago-knowledge.org/resource/Isotopes_of_selenium,1,0
http://yago-knowledge.org/resource/Stage_(theatre),1,0
http://yago-knowledge.org/resource/Buttercross,1,0
http://yago-knowledge.org/resource/Folwark,1,0
http://yago-knowledge.org/resource/Season_premiere,1,0
http://yago-knowledge.org/resource/Comb,1,0
http://yago-knowledge.org/resource/Folding_screen,1,0
http://yago-knowledge.org/resource/Tour_of_Rwanda,1,0
http://yago-knowledge.org/resource/Marquess,1,0
http://yago-knowledge.org/resource/Docosanoid,1,0
http://yago-knowledge.org/resource/Land_lot,1,0
http://yago-knowledge.org/resource/Lid,1,0
http://yago-knowledge.org/resource/Aljibe,1,0
http://yago-knowledge.org/resource/Acequia,1,0
http://yago-knowledge.org/resource/Belgian_Indoor_Athletics_Championships,1,0
http://yago-knowledge.org/resource/School_library,1,0
http://yago-knowledge.org/resource/Missile_boat,1,0
http://yago-knowledge.org/resource/Thurible,1,0
http://yago-knowledge.org/resource/Clay_pit,1,0
http://yago-knowledge.org/resource/Legislation_of_Ukraine,1,0
http://yago-knowledge.org/resource/By-law,1,0
http://yago-knowledge.org/resource/Isotopes_of_phosphorus,1,0
http://yago-knowledge.org/resource/Hydrology,1,0
http://yago-knowledge.org/resource/Aedicula,1,0
http://yago-knowledge.org/resource/Prose_poetry,1,0
http://yago-knowledge.org/resource/Pension_(lodging),1,0
http://yago-knowledge.org/resource/Leadlight,1,0
http://yago-knowledge.org/resource/Individual_time_trial,1,0
http://yago-knowledge.org/resource/Cable_layer,1,0
http://yago-knowledge.org/resource/Plaquette,1,0
http://yago-knowledge.org/resource/Fire_engine,1,0
http://yago-knowledge.org/resource/Stichting,1,0
http://yago-knowledge.org/resource/Festschrift,1,0
http://yago-knowledge.org/resource/Kitchen,1,0
http://yago-knowledge.org/resource/Engraving,1,0
http://yago-knowledge.org/resource/Isotopes_of_potassium,1,0
http://yago-knowledge.org/resource/Cowshed,1,0
http://yago-knowledge.org/resource/Rivulet,1,0
http://yago-knowledge.org/resource/Astrolabe,1,0
http://yago-knowledge.org/resource/Isotopes_of_americium,1,0
http://yago-knowledge.org/resource/Vault_(architecture),1,0
http://yago-knowledge.org/resource/World_Allround_Speed_Skating_Championships_for_Women,1,0
http://yago-knowledge.org/resource/Garden_buildings,1,0
http://yago-knowledge.org/resource/National_Circuit_Grand_Prix_Finals_(Malaysia),1,0
http://yago-knowledge.org/resource/Bothy,1,0
